hours_studied,exam_score
7.97,89.81
4.95,60.98
8.73,81.63
7.28,78.22
1.85,43.12
9.78,100.0
7.85,85.2
8.07,84.24
2.15,51.29
5.05,56.88
4.34,55.01
9.34,86.08
6.79,72.19
8.4,77.72
4.99,65.61
3.05,48.71
5.99,61.58
1.57,35.13
8.45,86.49
6.68,77.61
7.82,90.81
4.19,71.8
9.74,95.38
9.04,83.81
8.01,71.4
2.75,49.21
5.2,59.74
1.39,36.96
2.39,42.47
7.15,75.77
7.7,85.38
9.71,93.9
3.93,54.75
4.33,52.97
5.23,55.62
2.71,45.18
2.17,43.84
5.28,73.16
3.04,50.41
7.03,80.61
4.93,59.55
8.49,79.26
7.3,72.62
3.81,51.14
8.49,95.83
8.24,79.45
4.49,63.38
3.59,48.82
7.14,81.07
2.26,46.61
2.8,47.42
1.07,36.75
8.08,79.25
6.98,77.6
7.35,75.5
8.03,76.07
5.13,56.96
6.12,70.64
2.26,52.59
2.03,43.99
7.02,75.04
5.24,65.49
6.09,76.12
7.88,82.32
6.71,71.56
5.98,74.4
6.03,71.34
3.74,61.99
1.28,39.24
4.93,55.92
2.93,42.2
4.68,68.67
8.68,95.04
3.11,49.32
1.52,37.96
3.53,60.25
3.64,48.12
6.96,70.77
6.01,72.28
8.06,80.42
6.98,75.34
4.66,59.47
8.33,85.83
2.5,53.29
1.2,38.25
1.81,44.98
7.5,68.5
5.16,63.3
2.45,41.71
5.51,59.72
2.37,41.01
7.27,75.58
5.02,67.21
4.43,52.16
3.71,54.27
6.67,70.93
4.26,56.05
1.79,46.65
2.06,46.08
9.66,99.48
9.18,88.9
7.3,73.97
3.39,50.92
9.72,94.39
8.01,82.95
7.45,73.0
5.04,63.21
3.45,53.57
1.87,54.74
9.12,98.66
5.1,58.88
2.82,46.89
3.75,47.06
6.21,67.41
2.59,48.41
8.71,92.64
7.83,77.25
7.48,75.35
4.89,51.05
6.65,72.41
